1
0.1
0.01
0.001
0.0001
0.00001
0.000001
0.0000001
0.00000001
0.000000001
0.0000000001
0.00000000001
0.000000000001
0.0000000000001
0,003428	0,002189	0,061682	0,012978	0,013858	0,001437	-0,013309	-0,006556	0,016997	-0,004655	-0,010808	-0,004554	-0,010741	-0,007611
0,000845	0,000555	0,063564	0,011955	0,016068	0,00202	-0,012757	-0,003558	0,017074	-0,004986	-0,007874	-0,005665	-0,010935	-0,007801
0,000948	0,001334	0,063955	0,011458	0,013665	0,00061	-0,012458	-0,002093	0,016646	-0,005105	-0,008909	-0,004796	-0,009803	-0,007301
0,001407	0,001011	0,064528	0,011833	0,013771	-0.000058	-0,012169	-0,002366	0,017298	-0,005011	-0,008432	-0,005303	-0,010684	-0,006948
0,001095	0,002208	0,05833	0,01185	0,014203	-0,000865	-0,013058	-0,002822	0,016469	-0,003961	-0,008073	-0,00448	-0,010047	-0,005819
-0,000892	0,001309	0,064341	0,011179	0,014034	0,001656	-0,012107	-0,004697	0,017393	-0,005183	-0,008309	-0,004279	-0,011199	-0,007125
0,000522	-0,002058	0,066138	0,012533	0,013861	0,000715	-0,014235	-0,003178	0,017034	-0,006177	-0,007646	-0,001577	-0,011242	-0,006521
0,002578	-0,000161	0,063973	0,013349	0,01593	-0,00241	-0,011854	-0,003873	0,016601	-0,00567	-0,005851	-0,0022	-0,009649	-0,007418
0,001265	0,000538	0,064142	0,012147	0,016951	0,000755	-0,011367	-0,002829	0,015631	-0,004025	-0,009568	-0,003428	-0,011315	-0,006112
0,002891	0,00215	0,065151	0,010808	0,01502	0,00036	-0,010107	-0,004422	0,01891	-0,00301	-0,005725	-0,002791	-0,010745	-0,005981
0,002776	0,002349	0,06553	0,011665	0,015086	-0,001205	-0,009591	-0,00374	0,015083	-0,004277	-0,007059	-0,003165	-0,010963	-0,005982
0,001382	0,000767	0,063504	0,012285	0,013447	-0,000177	-0,009844	-0,00261	0,017285	-0,002433	-0,005877	-0,004574	-0,009445	-0,008081
0,000402	0,002058	0,064631	0,010754	0,015701	0,000352	-0,011551	-0,001663	0,01761	-0,006801	-0,006262	-0,0048	-0,010121	-0,008197
0,002437	0,001499	0,06184	0,011726	0,015029	-0,000857	-0,010919	-0,003193	0,017443	-0,004073	-0,008742	-0,00407	-0,009115	-0,008238
0,00152	0,000806	0,061837	0,011704	0,016079	0,000197	-0,011703	-0,001607	0,018152	-0,00513	-0,006052	-0,004362	-0,009531	-0,00603
0,001369	0,000225	0,063989	0,0107	0,014492	-0.000099	-0,012246	-0,003645	0,016171	-0,004847	-0,008149	-0,004177	-0,010496	-0,005973
0,001846	0,001003	0,064342	0,011526	0,015547	0,000464	-0,011621	-0,002306	0,017537	-0,004203	-0,007296	-0,004625	-0,009566	-0,006238
0,001423	0,001565	0,061215	0,011926	0,015258	0,000252	-0,011271	-0,003037	0,016953	-0,004138	-0,007242	-0,004082	-0,009743	-0,006221
