1
0.1
0.01
0.001	
0.0001
0.00001	
0.000001
0.0000001	
0.00000001
0.000000001	
0.0000000001
0.00000000001
0.000000000001
0,001481	-0,000146	-0,000799	0,001447	0,000231	-0,0633	-0,0085	0,001109	-0,001584	0,001214	-0,005155	0,002409	-0,01834
-0,001588	0,001422	-0,000667	0,003059	0,001486	-0,063254	-0,008609	0,000294	-0,000462	0,001702	-0,004772	0,002745	-0,018252
0,000893	-0,000147	-0,00095	-0,000233	0,000451	-0,063599	-0,005865	0,000128	-0,0014	0,00278	-0,004692	0,001299	-0,017448
0,000331	0,000682	0,000007	0,000942	0,001071	-0,063109	-0,006728	0,00041	-0,001893	0,003695	-0,004195	0,001383	-0,019199
0,001151	-0.00006	0,000128	0,000439	-0.000045	-0,06221	-0,006238	0,000888	-0,001877	0,00302	-0,003583	-0,000915	-0,019515
0,002034	0,001423	0,001354	-0,001263	0,000543	-0,062516	-0,008161	0,000634	-0,000988	-0,000209	-0,003692	0,00024	-0,016433
0,00069	0,000514	0,000793	-0,000132	-0,001696	-0,061717	-0,008967	-0,000244	-0,00296	0,001155	-0,005538	0,001655	-0,015899
0,001714	-0,000364	0,001493	0,002553	-0,000521	-0,060805	-0,006963	0,001207	-0,002194	0,00291	-0,006756	0,001089	-0,016864
-0,001343	0,000136	-0,001528	0,002255	-0,000519	-0,059374	-0,008336	0,00136	0,000409	0,001355	-0,004491	0,000163	-0,019587
0,002763	0,000424	0,000419	-0,000354	0,001212	-0,060395	-0,005693	0,002267	-0,002931	0,004202	-0,003233	-0,000836	-0,018187
-0,000367	-0.000043	0,001435	-0,000687	0,003862	-0,065332	-0,008666	0,000728	-0,001746	0,003782	-0,004226	-0,000327	-0,017178
0,002672	-0,000181	-0,000428	0,000796	0,002317	-0,063375	-0,00731	-0.000015	0,001753	0,003837	-0,004462	0,001482	-0,017459
0,000924	0,000426	-0,001177	0,002203	0,000958	-0,060645	-0,004909	-0,000726	0,000531	0,002431	-0,003325	-0,000354	-0,016112
0,001564	0,001076	-0.000048	0,001072	-0,000243	-0,061787	-0,006885	0,000628	-0,003328	0,00308	-0,003836	-0.000046	-0,018522
